date,supply
31/1/2015,2.84
28/2/2015,2.85
31/3/2015,2.86
30/4/2015,2.89
31/5/2015,2.9
30/6/2015,2.91
31/7/2015,2.91
31/8/2015,2.92
30/9/2015,2.92
31/10/2015,2.93
30/11/2015,2.92
31/12/2015,2.94
31/1/2016,2.985
29/2/2016,2.765
31/3/2016,2.79
30/4/2016,2.8
31/5/2016,2.98
30/6/2016,3.01
31/7/2016,3.03
31/8/2016,3.06
30/9/2016,3.09
31/10/2016,3.07
30/11/2016,3.1
31/12/2016,3.1
31/1/2017,2.94
28/2/2017,2.92
31/3/2017,2.9
30/4/2017,2.88
31/5/2017,2.9
30/6/2017,2.92
31/7/2017,2.92
31/8/2017,2.92
30/9/2017,2.92
31/10/2017,2.91
30/11/2017,2.88
31/12/2017,2.9
31/1/2018,2.91
28/2/2018,2.87
31/3/2018,2.85
30/4/2018,2.86
31/5/2018,2.84
30/6/2018,2.88
31/7/2018,2.91
31/8/2018,2.95
30/9/2018,2.95
31/10/2018,3
30/11/2018,3.14
31/12/2018,3.18
31/1/2019,3.1
28/2/2019,3.15
31/3/2019,3.1
30/4/2019,3.1
31/5/2019,3.1
30/6/2019,3.15
31/7/2019,3.1
31/8/2019,3.15
30/9/2019,3.15
31/10/2019,3.2
30/11/2019,3.25
31/12/2019,3.15
31/1/2020,3.2
29/2/2020,3.2
31/3/2020,3.5
30/4/2020,3.8
31/5/2020,2.5
30/6/2020,2.35
31/7/2020,2.45
31/8/2020,2.7
30/9/2020,2.5
31/10/2020,2.42
30/11/2020,2.51
31/12/2020,2.58
31/1/2021,2.61
28/2/2021,2.61
31/3/2021,2.61
30/4/2021,2.61
31/5/2021,2.64
30/6/2021,2.69
31/7/2021,2.72
31/8/2021,2.77
30/9/2021,2.79
31/10/2021,2.83
30/11/2021,2.85
31/12/2021,2.9